Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China,CHN,"Intentional homicides, male (per 100,000 male)",VC.IHR.PSRC.MA.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2.48756218,,2.98507452,,1.49253726,1.99004972,3.365384579,3.846153736,2.403846264,2.403846264,3.365384579,2.843601942,2.843601942,3.286385059,3.286385059,3.286385059,3.448275805,2.955665112,3.940886736,4.92610836,5.314009666,2.898550749,1.449275374,1.449275374,
China,CHN,Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,28.39256866,31.10300081,33.12971613,33.47008547,33.97009967,39.99527522,38.0639695,33.42318059,30.23660404,34.17832168,38.75713658,42.60371179,44.77803595,47.36852386,49.59400982,21.00374011,20.20749483,21.35834078,20.69669162,19.84031402,20.02396921,30.3664776,32.67160546,37.57146381,36.31208215,27.62760963,25.11137734,27.8179024,25.82754412,24.19640287,24.94097828,25.10664754,20.1955135,20.78662596,21.44463043,18.24298755,17.42184875,14.75942632,4.395564695,3.353641205,2.609233448
China,CHN,Commercial service exports (current US$),TX.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,,,,,,,,2476000000,2466000000,2783000000,2925000000,3612000000,4233000000,4721000000,4452000000,5748000000,6864000000,9108000000,10992000000,16354000000,18429960000,20567000000,57485000000,62363000000,66007000000,78423162000,89676000000,1.01803E+11,57319786079,78780946446,77974071361,93492297850,1.34767E+11,1.62647E+11,1.42624E+11,1.77384E+11,2.00294E+11,2.00586E+11,2.05778E+11,2.18086E+11,2.16335E+11,2.07192E+11,2.11364E+11,2.3181E+11,2.42772E+11,2.26376E+11,3.3784E+11,3.67258E+11
China,CHN,Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,,469800000,,,,,,,,,,,,,,,,,9650200000,13552200000,18139200000,21473600000,21863100000,22093400000,24821700000,27328400000,31367300000,39462000000,47660000000,52907869083,62755874524,71962490361,85616912557,91690694000,1.20864E+11,1.48957E+11,1.51163E+11,1.82923E+11,1.83749E+11,1.94936E+11,2.493E+11,2.66713E+11,3.25751E+11,4.385E+11,5.93647E+11,7.62218E+11,9.69025E+11,1.21783E+12,1.42887E+12,1.20205E+12,1.57844E+12,1.89928E+12,2.05009E+12,2.21066E+12,2.34322E+12,2.28054E+12,2.13659E+12,2.28009E+12,2.50133E+12,2.49855E+12,2.59802E+12,,
China,CHN,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,,6.130268199,,,,,,,,,,,,,,,,,2.176120702,2.047638022,2.812692952,6.653751583,10.0859439,10.98744421,8.840248653,5.61028088,5.953333567,5.843089555,3.490138481,1.599100502,1.536376655,1.243928602,1.235697444,1.314896799,1.013399358,0.997073652,1.002593889,1.047093039,1.288625788,1.424634239,1.292107501,1.419814182,1.541659427,1.540305815,1.492241728,1.542761651,1.684623617,1.923878456,2.094181696,2.545073832,2.383882382,2.281453822,2.234725574,2.390791608,2.844575241,2.700808345,2.764484342,2.578420364,2.347525102,2.318695674,2.172727112,,
China,CHN,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,,12.47339293,,,,,,,,,,,,,,,,,5.874489648,5.900149053,6.979359619,13.5724797,17.00719477,16.72897788,14.2141755,10.73169304,10.73187683,11.34078354,8.831934536,5.034493065,5.626594031,4.504613423,7.581697128,8.718858644,6.397478157,6.868993065,6.597486157,6.953494093,7.750020952,7.428759695,7.77570357,8.257998298,8.666554516,9.392186545,10.07459637,10.93636807,12.52468791,14.84760607,16.6878609,16.14747897,17.08785848,17.89233866,17.82788802,18.11843592,18.90280253,18.1647766,18.513211,19.05536966,19.0295222,19.52290092,18.20683286,,
China,CHN,Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,2.204380131,1.521521021,1.434411479,3.087005572,,,,,1.690544529,1.650443522,1.855937063,2.065541208,1.790736198,2.071754627,2.003622745,1.955910095,1.837679577,1.745354154,1.577912105,1.593803193,1.891694291,1.790720679,2.150432138,1.79805623,1.641622542,1.160553225,1.355513824,1.43198201,1.22562186,1.178076263,1.249063713,1.17086953,1.127617898,1.204732047,1.327561161,1.26063099,1.122069227,1.373866493,1.512411963
China,CHN,Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,23.02097657,25.75895273,11.64274043,11.45505044,,,,,5.52424102,4.478368936,3.362623408,3.583847216,3.926778394,3.822138855,2.815683827,2.389964989,3.152221064,3.158503042,2.590704217,2.536175349,2.440530501,2.312723767,1.833935705,1.711198439,2.220806318,1.696236923,1.690563114,1.700077255,1.513749851,1.529469835,1.470610742,1.227266416,1.281000945,1.563557355,1.867644071,1.874653045,1.214368545,1.239561134,1.790090113
China,CHN,Export volume index (2015 = 100),TX.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,1.063043525,1.292558213,1.393800718,1.515488689,1.824234584,1.864870676,2.294399486,2.720295361,3.203080424,3.315555671,3.797235758,4.352851537,5.038751013,5.610693939,7.178232929,8.405545379,8.374171356,10.04023946,10.47887905,11.44906916,14.78304531,16.21614151,20.49791175,27.02121908,33.53308001,41.93124959,51.17476058,61.32835467,66.56744428,59.60419811,76.35333609,83.06479144,87.69809124,95.12666396,100.5705339,100,101.4188577,108.5715396,113.0548842,115.266467,118.5367947,139.1180336,
China,CHN,Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,66.86327078,73.5326087,50.15186029,67.40380363,75.0617284,70.32119914,68.4305472,77.02211027,78.89618283,63.70332741,46.97512762,47.38389691,48.29225017,38.66961969,46.09951272,35.47351525,25.04907589,25.08813721,28.80137961,28.87410127,29.39025358,33.09492735,33.92382131,34.13843465,34.25536644,33.47615614,31.84786794,29.46226523,32.90265737,32.59783745,30.63637711,28.63339275,22.31784786,19.70195703,18.38200335,19.90639591,20.95036187,20.95427139,25.05723954,33.53611592,36.90336339
China,CHN,Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,,6.321924974,,,,,,,,,,,,,,,,,4.685939407,4.176359454,3.953857985,3.334180902,6.077555444,4.064975782,3.8133732,2.840382107,3.001012122,4.213989408,4.399110422,4.164326705,4.510156044,4.696917316,4.249536391,3.963095525,4.41262683,5.109485257,5.434988377,5.879766887,6.187180254,6.760952341,7.782221827,7.584470392,8.316725223,9.078334766,8.924936767,9.046171323,9.319391705,9.74410309,8.822023023,9.058251103,9.605922537,9.845087706,9.597173115,9.059658447,9.537461214,10.54487983,11.21266971,11.51164564,11.50509965,12.37891119,13.40432475,,
China,CHN,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,,4.528471081,,,,,,,,,,,,,,,,,0.957163467,0.595062141,1.268905409,2.289822242,1.370833443,1.016595952,0.547519785,0.290723678,0.275214094,0.244778785,0.381196016,0.628272301,0.396495667,0.35485166,0.351266231,0.513315063,0.449240316,0.518022442,0.795880503,0.946825827,0.951800406,0.754712222,0.8379003,0.948004451,0.974974276,1.182596013,1.490064894,1.626485682,1.467461325,1.667286027,1.903708566,1.514247577,1.647976422,1.501778779,1.245622237,1.08181084,1.031429122,1.059496299,0.932470965,1.058388597,1.050196291,1.0298715,1.174340814,,
China,CHN,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,,6.321924974,,,,,,,,,,,,,,,,,4.685939407,4.176359454,3.953857985,3.334180902,6.077555444,4.064975782,3.8133732,2.840382107,3.001012122,4.213989408,4.399110422,4.164326705,4.510156044,4.696917316,4.249536391,3.963095525,4.41262683,5.109485257,5.434988377,5.879766887,6.187180254,6.760952341,7.782221827,7.584470392,8.316725223,9.078334766,8.924936767,9.046171323,9.319391705,9.74410309,8.822023023,9.058251103,9.605922537,9.845087706,9.597173115,9.059658447,9.537461214,10.54487983,11.21266971,11.51164564,11.50509965,12.37891119,13.40432475,,
China,CHN,Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,,4.005380362,,,,,,,,,,,,,,,,,1.58140051,0.990270798,1.771340682,1.367975775,1.501942851,1.928059175,1.476877789,0.568500148,0.521081261,0.756546907,1.159486271,1.141608947,1.020516572,1.363137413,1.20164498,1.308001776,1.000816725,1.526259997,1.916639918,2.349579708,1.85542615,1.782685647,3.915757522,3.079530889,2.747902789,2.99952287,3.402452114,4.200229475,4.340570128,4.278672206,6.212254311,5.18721862,5.770723629,6.775392535,7.24261584,7.050070613,6.990910136,5.455271525,4.403322135,5.043783526,6.514372668,7.041292038,5.665883386,,
China,CHN,ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.19335553,21.01003069,23.17332393,24.04671654,23.81624743,25.28196067,26.06887442,24.54577259,21.18740811,21.89970533,20.39987603,17.9992439,19.55576406,20.54718938,19.70968641,23.34629226,23.75591962,22.71918832,22.67479353,22.40839401,24.94682818,23.71064088,
China,CHN,Import unit value index (2015 = 100),TM.UVI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,60.13678997,58.73825997,56.64046497,60.83605497,61.53531997,65.73090996,65.73090996,63.63311497,67.82870496,64.33237997,66.43017496,67.82870496,67.82870496,67.12943996,68.52796996,72.02429496,70.62576496,68.52796996,65.73090996,67.82870496,69.92649996,69.85657346,71.53313123,72.3915288,80.86133765,85.2278499,87.78468538,93.22733591,106.3723903,91.79937279,104.4676862,119.9289038,119.3074012,117.1959187,114.2800684,100,91.17741518,97.1987263,105.7911953,102.9256863,97.5674286,117.8810484,
China,CHN,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.02,33.32,31.8,,26.14,18.43,18.36,18.16,18.87,17.81,13.66,12.53,11.69,10.72,11.1,11.2,10.96,10.96,11,10.95,,,10.41,10.44,10.76,10.82,10.82,9.24,9.25,,
China,CHN,"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,,,100,100,100,100,100,99.92,99.92,,
China,CHN,"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.09,39.08,35.51,,23.7,17.51,18.28,17.12,16.99,15.88,13.11,11.36,10.52,9.81,9.87,10.01,9.7,9.62,9.74,9.8,,,9.67,11.04,10.93,11.01,9.86,7.45,7.56,,
China,CHN,"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,,,100,100,100,100,100,99.98,99.98,,
China,CHN,"Tariff rate, most favored nation, simple mean, manufactured products (%)",TM.TAX.MANF.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.88,40.77,36.59,,22.98,17.27,18.29,16.84,16.47,15.35,12.98,11.04,10.18,9.55,9.52,9.66,9.33,9.22,9.37,9.46,,,9.44,11.28,11.01,11.1,9.54,6.83,6.97,,
China,CHN,"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,,,100,100,100,100,100,100,100,,
China,CHN,"International tourism, expenditures (current US$)",ST.INT.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9220000000,9943000000,11621000000,14169000000,14992000000,16759000000,16716000000,21360000000,,,,,,,,,,,,,,,,,,
China,CHN,"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552000000,627000000,908000000,1087000000,1214000000,1357000000,1301000000,2016000000,,,,,,,,,,,,,,,,,,
