Country Name,Country Code,Indicator Name,Code,1980,2000,2020,2021
Aruba,ABW,"Life expectancy at birth, total (years)",AM,71.066,73.569,75.723,74.626
Afghanistan,AFG,"Life expectancy at birth, total (years)",AS,39.618,55.298,62.575,61.982
Angola,AGO,"Life expectancy at birth, total (years)",AF,42.449,46.024,62.261,61.643
Albania,ALB,"Life expectancy at birth, total (years)",EU,70.478,75.404,76.989,76.463
Arab World,ARB,"Life expectancy at birth, total (years)",AS,57.30237239,67.29733126,70.92335959,70.81448302
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",AS,68.53,74.38,78.946,78.71
Argentina,ARG,"Life expectancy at birth, total (years)",AM,68.564,73.926,75.892,75.39
Armenia,ARM,"Life expectancy at birth, total (years)",AS,66.177,70.624,72.173,72.043
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",AM,73.183,74.606,78.841,78.497
Australia,AUS,"Life expectancy at birth, total (years)",OC,74.33365854,79.23414634,83.2,83.3
Austria,AUT,"Life expectancy at birth, total (years)",EU,72.46341463,78.12682927,81.19268293,81.23902439
Azerbaijan,AZE,"Life expectancy at birth, total (years)",AS,61.081,64.891,66.868,69.366
Burundi,BDI,"Life expectancy at birth, total (years)",AF,45.406,47.514,61.566,61.663
Belgium,BEL,"Life expectancy at birth, total (years)",EU,73.20707317,77.72195122,80.69512195,81.8902439
Benin,BEN,"Life expectancy at birth, total (years)",AF,47.877,56.578,60.088,59.821
Burkina Faso,BFA,"Life expectancy at birth, total (years)",AF,46.539,50.847,59.731,59.27
Bangladesh,BGD,"Life expectancy at birth, total (years)",AS,51.85,65.779,71.968,72.381
Bulgaria,BGR,"Life expectancy at birth, total (years)",EU,71.15756098,71.66341463,73.65853659,71.51463415
Bahrain,BHR,"Life expectancy at birth, total (years)",AS,70.826,75.496,79.174,78.76
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",AM,67.521,72.041,72.677,71.598
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",EU,70.543,74.496,76.225,75.3
Belarus,BLR,"Life expectancy at birth, total (years)",EU,69.92770732,68.91219512,72.45721951,72.37068293
Belize,BLZ,"Life expectancy at birth, total (years)",AM,67.756,68.564,72.854,70.47
Bermuda,BMU,"Life expectancy at birth, total (years)",AM,73.454,78.858,81.136,79.28
Bolivia,BOL,"Life expectancy at birth, total (years)",AM,51.181,62.346,64.467,63.63
Brazil,BRA,"Life expectancy at birth, total (years)",AM,61.781,69.737,74.009,72.75
Barbados,BRB,"Life expectancy at birth, total (years)",AM,71.921,74.089,77.393,77.571
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",AS,69.246,74.08,74.795,74.642
Bhutan,BTN,"Life expectancy at birth, total (years)",AS,48.218,62.01,71.609,71.815
Botswana,BWA,"Life expectancy at birth, total (years)",AF,60.646,51.011,65.647,61.141
Central African Republic,CAF,"Life expectancy at birth, total (years)",AF,49.889,45.406,54.604,53.895
Canada,CAN,"Life expectancy at birth, total (years)",AM,75.10219512,79.16682927,81.6704878,82.59660976
Switzerland,CHE,"Life expectancy at birth, total (years)",EU,75.45926829,79.6804878,83,83.85121951
Chile,CHL,"Life expectancy at birth, total (years)",AM,68.84,76.87,79.377,78.944
China,CHN,"Life expectancy at birth, total (years)",AS,64.42,71.881,78.077,78.211
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",AF,52.27,50.842,59.032,58.598
Cameroon,CMR,"Life expectancy at birth, total (years)",AF,51.041,52.932,60.833,60.333
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",AF,56.593,53.682,63.785,63.519
Colombia,COL,"Life expectancy at birth, total (years)",AM,66.868,71.32,74.769,72.83
Comoros,COM,"Life expectancy at birth, total (years)",AF,50.8,58.757,64.166,63.417
Cabo Verde,CPV,"Life expectancy at birth, total (years)",AF,61.368,68.618,74.808,74.052
Costa Rica,CRI,"Life expectancy at birth, total (years)",AM,72.899,77.586,79.277,77.023
Cuba,CUB,"Life expectancy at birth, total (years)",AM,72.752,76.183,77.567,73.683
Cyprus,CYP,"Life expectancy at birth, total (years)",AS,71.95,76.568,81.391,81.203
Czechia,CZE,"Life expectancy at birth, total (years)",EU,70.27804878,74.96829268,78.22682927,77.37317073
Germany,DEU,"Life expectancy at birth, total (years)",,72.80031707,77.92682927,81.04146341,80.90097561
Djibouti,DJI,"Life expectancy at birth, total (years)",,51.947,56.573,62.694,62.305
Dominica,DMA,"Life expectancy at birth, total (years)",,71.782,72.693,73.649,72.814
Denmark,DNK,"Life expectancy at birth, total (years)",,74.10170732,76.59268293,81.60243902,81.40487805
Dominican Republic,DOM,"Life expectancy at birth, total (years)",,61.754,69.423,72.889,72.615
Algeria,DZA,"Life expectancy at birth, total (years)",,53.261,70.478,74.453,76.377
East Asia & Pacific (excluding high income),EAP,"Life expectancy at birth, total (years)",,63.43860952,70.5648357,75.93602464,75.5432913
Early-demographic dividend,EAR,"Life expectancy at birth, total (years)",,56.11721526,64.49925708,70.02998828,68.46740583
East Asia & Pacific,EAS,"Life expectancy at birth, total (years)",,64.71696596,71.55256983,76.76194199,76.39391116
Ecuador,ECU,"Life expectancy at birth, total (years)",,63.191,72.839,72.153,73.67
"Egypt, Arab Rep.",EGY,"Life expectancy at birth, total (years)",,56.628,68.007,70.99,70.221
Eritrea,ERI,"Life expectancy at birth, total (years)",,44.585,56.111,67.133,66.536
Spain,ESP,"Life expectancy at birth, total (years)",,75.34926829,78.96585366,82.33170732,83.17804878
Estonia,EST,"Life expectancy at birth, total (years)",,68.79563415,70.41707317,78.59512195,76.74146341
Ethiopia,ETH,"Life expectancy at birth, total (years)",,43.217,50.538,65.371,64.975
European Union,EUU,"Life expectancy at birth, total (years)",,72.78960622,77.07531688,80.45209305,80.38730785
Fragile and conflict affected situations,FCS,"Life expectancy at birth, total (years)",,52.07331854,55.50590381,61.76175891,61.25279539
Finland,FIN,"Life expectancy at birth, total (years)",,73.44,77.46585366,81.93170732,81.93414634
Fiji,FJI,"Life expectancy at birth, total (years)",,62.734,66.31,67.924,67.114
France,FRA,"Life expectancy at birth, total (years)",,74.05121951,79.05609756,82.17560976,82.32439024
"Micronesia, Fed. Sts.",FSM,"Life expectancy at birth, total (years)",,64.212,69.769,70.674,70.71
Gabon,GAB,"Life expectancy at birth, total (years)",,57.454,61.069,66.531,65.821
United Kingdom,GBR,"Life expectancy at birth, total (years)",,73.67560976,77.74146341,80.35121951,80.7
Georgia,GEO,"Life expectancy at birth, total (years)",,67.173,69.575,72.765,71.694
Ghana,GHA,"Life expectancy at birth, total (years)",,51.117,58.195,64.114,63.795
Gibraltar,GIB,"Life expectancy at birth, total (years)",,73.753,81.37,82.198,79.329
